esfera,chapa,altura,restituicao
35,40,5,0.6025
35,40,5,0.6389
35,40,5,0.5509
35,40,5,0.5509
35,40,5,0.5363
35,40,10,0.5364
35,40,10,0.5431
35,40,10,0.5968
35,40,10,0.553
35,40,10,0.5968
35,40,15,0.4968
35,40,15,0.4843
35,40,15,0.5325
35,40,15,0.4796
35,40,15,0.5283
35,40,20,0.4611
35,40,20,0.5725
35,40,20,0.5864
35,40,20,0.6611
35,40,20,0.5978
40,20,5,0.4014
40,20,5,0.483
40,20,5,0.3725
40,20,5,0.4152
40,20,5,0.4748
40,20,10,0.3523
40,20,10,0.376
40,20,10,0.3844
40,20,10,0.3799
40,20,10,0.3418
40,20,15,0.3214
40,20,15,0.3574
40,20,15,0.3252
40,20,15,0.4412
40,20,15,0.3547
40,20,20,0.2175
40,20,20,0.3843
40,20,20,0.3754
40,20,20,0.445
40,20,20,0.412
40,25,5,0.4499
40,25,5,0.4351
40,25,5,0.4629
40,25,5,0.4419
40,25,5,0.4564
40,25,10,0.3358
40,25,10,0.4226
40,25,10,0.4324
40,25,10,0.4219
40,25,10,0.3536
40,25,15,0.5005
40,25,15,0.424
40,25,15,0.3892
40,25,15,0.426
40,25,15,0.3863
40,25,20,0.3927
40,25,20,0.4204
40,25,20,0.3674
40,25,20,0.4121
40,25,20,0.3767
40,30,5,0.509
40,30,5,0.4592
40,30,5,0.4735
40,30,5,0.5045
40,30,5,0.5433
40,30,10,0.4275
40,30,10,0.4132
40,30,10,0.4194
40,30,10,0.4242
40,30,10,0.4842
40,30,15,0.4695
40,30,15,0.4136
40,30,15,0.4234
40,30,15,0.449
40,30,15,0.4329
40,30,20,0.3154
40,30,20,0.368
40,30,20,0.3494
40,30,20,0.3144
40,30,20,0.3173
40,35,5,0.5311
40,35,5,0.4737
40,35,5,0.4737
40,35,5,0.5547
40,35,5,0.543
40,35,10,0.4306
40,35,10,0.4647
40,35,10,0.4275
40,35,10,0.4603
40,35,10,0.415
40,35,15,0.4292
40,35,15,0.4423
40,35,15,0.455
40,35,15,0.4423
40,35,15,0.4617
40,35,20,0.4035
40,35,20,0.3612
40,35,20,0.4069
40,35,20,0.3609
40,35,20,0.425
40,40,5,0.4515
40,40,5,0.4639
40,40,5,0.4904
40,40,5,0.5172
40,40,5,0.5032
40,40,10,0.5483
40,40,10,0.5566
40,40,10,0.5092
40,40,10,0.4311
40,40,10,0.5483
40,40,15,0.5
40,40,15,0.4938
40,40,15,0.4897
40,40,15,0.4775
40,40,15,0.4816
40,40,20,0.4104
40,40,20,0.4778
40,40,20,0.4819
40,40,20,0.543
40,40,20,0.5442
