rhos,ds,Es,vs,rhop,l,Ep,vp,ep
"2371,3","6,51","9,00E+10","0,22",7500,1,"1,80E+11","0,3","0,317611701583012"
"2371,3","6,51","9,00E+10","0,22",7500,"1,2","1,80E+11","0,3","0,411829484409598"
"2371,3","6,51","9,00E+10","0,22",7500,"1,2","1,80E+11","0,3","0,39027923438828"
"2371,3","6,51","9,00E+10","0,22",7500,"1,2","1,80E+11","0,3","0,380860794851538"
"2371,3","6,51","9,00E+10","0,22",7500,"1,2","1,80E+11","0,3","0,406445860952554"
"2371,3","6,51","9,00E+10","0,22",7500,"1,2","1,80E+11","0,3","0,402768199119819"
"2371,3","6,51","9,00E+10","0,22",7500,2,"1,80E+11","0,3","0,642305265284085"
"2371,3","6,51","9,00E+10","0,22",7500,2,"1,80E+11","0,3","0,656856661804768"
"2371,3","6,51","9,00E+10","0,22",7500,2,"1,80E+11","0,3","0,652693625378604"
"2371,3","6,51","9,00E+10","0,22",7500,2,"1,80E+11","0,3","0,656097230720371"
"2371,3","6,51","9,00E+10","0,22",7500,2,"1,80E+11","0,3","0,655862188758443"
"2371,3","6,51","9,00E+10","0,22",7500,3,"1,80E+11","0,3","0,783251649259301"
"2371,3","6,51","9,00E+10","0,22",7500,3,"1,80E+11","0,3","0,777492367822651"
"2371,3","6,51","9,00E+10","0,22",7500,3,"1,80E+11","0,3","0,801181559880089"
"2371,3","6,51","9,00E+10","0,22",7500,3,"1,80E+11","0,3","0,794122553911316"
"2371,3","6,51","9,00E+10","0,22",7500,3,"1,80E+11","0,3","0,801181559880089"
"2371,3","6,51","9,00E+10","0,22",7500,4,"1,80E+11","0,3","0,865060472672776"
"2371,3","6,51","9,00E+10","0,22",7500,4,"1,80E+11","0,3","0,872445250021865"
"2371,3","6,51","9,00E+10","0,22",7500,4,"1,80E+11","0,3","0,892931909055419"
"2371,3","6,51","9,00E+10","0,22",7500,4,"1,80E+11","0,3","0,882751068038787"
"2371,3","6,51","9,00E+10","0,22",7500,4,"1,80E+11","0,3","0,877446012256469"
"2371,3","6,51","9,00E+10","0,22",7500,6,"1,80E+11","0,3","0,911006022367095"
"2371,3","6,51","9,00E+10","0,22",7500,6,"1,80E+11","0,3","0,877650426007001"
"2371,3","6,51","9,00E+10","0,22",7500,6,"1,80E+11","0,3","0,871211230993385"
"2371,3","6,51","9,00E+10","0,22",7500,6,"1,80E+11","0,3","0,83017419207609"
"2371,3","6,51","9,00E+10","0,22",7500,6,"1,80E+11","0,3","0,87379260326093"
"2371,3","6,51","9,00E+10","0,22",7500,10,"1,80E+11","0,3","0,648323472994079"
"2371,3","6,51","9,00E+10","0,22",7500,10,"1,80E+11","0,3","0,664725857114254"
"2371,3","6,51","9,00E+10","0,22",7500,10,"1,80E+11","0,3","0,632821430549695"
"2371,3","6,51","9,00E+10","0,22",7500,10,"1,80E+11","0,3","0,635030238070128"
"2371,3","6,51","9,00E+10","0,22",7500,10,"1,80E+11","0,3","0,636121971630204"
"2371,3","6,51","9,00E+10","0,22",7500,"12,7","1,80E+11","0,3","0,832268823637564"
"2371,3","6,51","9,00E+10","0,22",7500,"12,7","1,80E+11","0,3","0,927995943196001"
"2371,3","6,51","9,00E+10","0,22",7500,"12,7","1,80E+11","0,3","0,967791154283743"
"2371,3","6,51","9,00E+10","0,22",7500,"12,7","1,80E+11","0,3","0,950541641257607"
"2371,3","6,51","9,00E+10","0,22",7500,"12,7","1,80E+11","0,3","0,959067943763484"
"7130,3","6,51","1,80E+11","0,3",2500,3,"9,00E+10","0,22","0,624303620953665"
"7130,3","6,51","1,80E+11","0,3",2500,3,"9,00E+10","0,22","0,631039056499469"
"7130,3","6,51","1,80E+11","0,3",2500,3,"9,00E+10","0,22","0,626012693075701"
"7130,3","6,51","1,80E+11","0,3",2500,3,"9,00E+10","0,22","0,628892373922222"
"7130,3","6,51","1,80E+11","0,3",2500,3,"9,00E+10","0,22","0,625"
"7130,3","6,51","1,80E+11","0,3",2500,4,"9,00E+10","0,22","0,739940073395944"
"7130,3","6,51","1,80E+11","0,3",2500,4,"9,00E+10","0,22","0,751221728771726"
"7130,3","6,51","1,80E+11","0,3",2500,4,"9,00E+10","0,22","0,726873215355893"
"7130,3","6,51","1,80E+11","0,3",2500,4,"9,00E+10","0,22","0,732970701775589"
"7130,3","6,51","1,80E+11","0,3",2500,4,"9,00E+10","0,22","0,745690157947115"
"7130,3","6,51","1,80E+11","0,3",2500,5,"9,00E+10","0,22","0,812768266558977"
"7130,3","6,51","1,80E+11","0,3",2500,5,"9,00E+10","0,22","0,817430253709535"
"7130,3","6,51","1,80E+11","0,3",2500,5,"9,00E+10","0,22","0,784798758223464"
"7130,3","6,51","1,80E+11","0,3",2500,5,"9,00E+10","0,22","0,813695555242257"
"7130,3","6,51","1,80E+11","0,3",2500,5,"9,00E+10","0,22","0,809960768475392"
"7130,3","6,51","1,80E+11","0,3",2500,6,"9,00E+10","0,22","0,799543248606787"
"7130,3","6,51","1,80E+11","0,3",2500,6,"9,00E+10","0,22","0,836385846606499"
"7130,3","6,51","1,80E+11","0,3",2500,6,"9,00E+10","0,22","0,87130609542606"
"7130,3","6,51","1,80E+11","0,3",2500,6,"9,00E+10","0,22","0,853411098054803"
"7130,3","6,51","1,80E+11","0,3",2500,6,"9,00E+10","0,22","0,836521997987969"
"7130,3","6,51","1,80E+11","0,3",2500,8,"9,00E+10","0,22","0,878989083973618"
"7130,3","6,51","1,80E+11","0,3",2500,8,"9,00E+10","0,22","0,879109619816207"
"7130,3","6,51","1,80E+11","0,3",2500,8,"9,00E+10","0,22","0,885744503526232"
"7130,3","6,51","1,80E+11","0,3",2500,8,"9,00E+10","0,22","0,877363916434033"
"7130,3","6,51","1,80E+11","0,3",2500,8,"9,00E+10","0,22","0,879711756141052"
"7130,3","6,51","1,80E+11","0,3",2500,10,"9,00E+10","0,22","0,915645943662286"
"7130,3","6,51","1,80E+11","0,3",2500,10,"9,00E+10","0,22","0,854902607714758"
"7130,3","6,51","1,80E+11","0,3",2500,10,"9,00E+10","0,22","0,865347497297942"
"7130,3","6,51","1,80E+11","0,3",2500,10,"9,00E+10","0,22","0,933699561847853"
"7130,3","6,51","1,80E+11","0,3",2500,10,"9,00E+10","0,22","0,922017947774736"
"7130,3","6,51","1,80E+11","0,3",2500,12,"9,00E+10","0,22","0,949814703697717"
"7130,3","6,51","1,80E+11","0,3",2500,12,"9,00E+10","0,22","0,917868236861187"
"7130,3","6,51","1,80E+11","0,3",2500,12,"9,00E+10","0,22","0,917868236861187"
"7130,3","6,51","1,80E+11","0,3",2500,12,"9,00E+10","0,22","0,929495461980575"
"7130,3","6,51","1,80E+11","0,3",2500,12,"9,00E+10","0,22","0,945905302926917"
"7130,3","6,51","1,80E+11","0,3",2500,15,"9,00E+10","0,22","0,933256525257383"
"7130,3","6,51","1,80E+11","0,3",2500,15,"9,00E+10","0,22","0,89080432099786"
"7130,3","6,51","1,80E+11","0,3",2500,15,"9,00E+10","0,22","0,927550067210415"
"7130,3","6,51","1,80E+11","0,3",2500,15,"9,00E+10","0,22","0,95524865872714"
"7130,3","6,51","1,80E+11","0,3",2500,15,"9,00E+10","0,22","0,932619359534676"
"7130,3","6,51","1,80E+11","0,3",2500,19,"9,00E+10","0,22","0,962494643666288"
"7130,3","6,51","1,80E+11","0,3",2500,19,"9,00E+10","0,22","0,943411668068384"
"7130,3","6,51","1,80E+11","0,3",2500,19,"9,00E+10","0,22","0,920924136844499"
"7130,3","6,51","1,80E+11","0,3",2500,19,"9,00E+10","0,22","0,96016371400018"
"7130,3","6,51","1,80E+11","0,3",2500,19,"9,00E+10","0,22","0,970142500145332"
"1640,6","6,14","2,30E+09","0,35",2500,3,"9,00E+10","0,22","0,740233210197605"
"1640,6","6,14","2,30E+09","0,35",2500,3,"9,00E+10","0,22","0,726873215355893"
"1640,6","6,14","2,30E+09","0,35",2500,3,"9,00E+10","0,22","0,73450894208615"
"1640,6","6,14","2,30E+09","0,35",2500,3,"9,00E+10","0,22","0,737008696137175"
"1640,6","6,14","2,30E+09","0,35",2500,3,"9,00E+10","0,22","0,737008696137175"
"1640,6","6,14","2,30E+09","0,35",2500,4,"9,00E+10","0,22","0,785353452498602"
"1640,6","6,14","2,30E+09","0,35",2500,4,"9,00E+10","0,22","0,793968190501575"
"1640,6","6,14","2,30E+09","0,35",2500,4,"9,00E+10","0,22","0,793811681887694"
"1640,6","6,14","2,30E+09","0,35",2500,4,"9,00E+10","0,22","0,790211610355272"
"1640,6","6,14","2,30E+09","0,35",2500,4,"9,00E+10","0,22","0,796298253853987"
"1640,6","6,14","2,30E+09","0,35",2500,5,"9,00E+10","0,22","0,816967863264762"
"1640,6","6,14","2,30E+09","0,35",2500,5,"9,00E+10","0,22","0,818367136829309"
"1640,6","6,14","2,30E+09","0,35",2500,5,"9,00E+10","0,22","0,8243990946604"
"1640,6","6,14","2,30E+09","0,35",2500,5,"9,00E+10","0,22","0,813676204344973"
"1640,6","6,14","2,30E+09","0,35",2500,5,"9,00E+10","0,22","0,822560334922099"
"1640,6","6,14","2,30E+09","0,35",2500,6,"9,00E+10","0,22","0,820276677899759"
"1640,6","6,14","2,30E+09","0,35",2500,6,"9,00E+10","0,22","0,814599954484941"
"1640,6","6,14","2,30E+09","0,35",2500,6,"9,00E+10","0,22","0,824453456723997"
"1640,6","6,14","2,30E+09","0,35",2500,6,"9,00E+10","0,22","0,824004753456098"
"1640,6","6,14","2,30E+09","0,35",2500,6,"9,00E+10","0,22","0,824453456723997"
"1640,6","6,14","2,30E+09","0,35",2500,8,"9,00E+10","0,22","0,842332362861483"
"1640,6","6,14","2,30E+09","0,35",2500,8,"9,00E+10","0,22","0,840747162922466"
"1640,6","6,14","2,30E+09","0,35",2500,8,"9,00E+10","0,22","0,835665777785306"
