,type,v:0,v:1,v:2,radius,Points:0,Points:1,Points:2
90,1,0.058298,0.0049694,0.00011725,0.0021,0.004986399999999999,-0.058403,0.006243199999999999
91,2,0.064189,0.0074678,6.4143e-05,0.0021,0.0074643999999999995,-0.064223,0.0050701
92,2,0.06155,0.0067932,8.1175e-05,0.0021,0.006784100000000001,-0.061611,0.008261200000000002
93,2,0.058202,0.0065937,2.4412e-05,0.0021,0.0066325,-0.058208,0.0020956
94,2,0.059976,0.0088348,-3.5836999999999996e-05,0.0021,0.0089445,-0.060136,0.0050141000000000005
95,2,0.062852,0.010037,3.1995999999999997e-05,0.0021,0.010052,-0.06288200000000001,0.0020706999999999995
96,2,0.06257,0.010862,7.5345e-05,0.0021,0.010837000000000001,-0.062599,0.0078318
97,2,0.06351799999999999,0.013704,6.2929e-05,0.0021,0.013678000000000001,-0.063538,0.004032
98,2,0.06055599999999999,0.014469999999999998,0.00010133,0.0021,0.014388,-0.060578999999999994,0.0068789
99,2,0.065149,0.022104,6.6724e-05,0.0021,0.022055,-0.065122,0.0058194
100,2,0.060025999999999996,0.014888,3.7264e-05,0.0021,0.014877000000000001,-0.060037,0.0020896
101,2,0.063486,0.017671,6.0502e-05,0.0021,0.017639,-0.063487,0.005381
102,2,0.058691,0.017828999999999998,0.00010207,0.0021,0.017753,-0.05870499999999999,0.0052168
103,2,0.06124299999999999,0.018913,5.3686999999999996e-05,0.0021,0.018887,-0.06124500000000001,0.0020797
104,2,0.058735,0.021023,9.183299999999999e-05,0.0021,0.020986,-0.05873,0.0078887
105,2,0.061128999999999996,0.022216999999999997,7.8438e-05,0.0021,0.022167,-0.061112,0.0046643
106,2,0.064167,0.024221,4.2323e-05,0.0021,0.024199000000000002,-0.064148,0.0020761
107,2,0.060049,0.025305,4.9525e-05,0.0021,0.025277,-0.060036,0.0020873000000000003
108,2,0.062725,0.026098000000000003,7.6053e-05,0.0021,0.026042000000000003,-0.062694,0.0055166
109,2,0.06276799999999999,0.028484,3.6485999999999996e-05,0.0021,0.028452999999999996,-0.062748,0.0020911
110,2,0.058602,0.029264,2.8133000000000003e-05,0.0021,0.029213,-0.0586,0.0020951
111,2,0.059577,0.028473000000000002,7.9259e-05,0.0021,0.028416000000000004,-0.05954299999999999,0.006873100000000001
112,2,0.064438,0.034054,1.1720999999999998e-05,0.0021,0.03405,-0.064402,0.0054222
113,2,0.061299,0.032444,2.2522e-05,0.0021,0.032416,-0.061301999999999995,0.0020821
114,2,0.060002999999999994,0.035423,4.5322e-05,0.0021,0.035388,-0.060002,0.0047072
115,2,0.061857,0.038031,1.5606e-05,0.0021,0.038023,-0.061866,0.0020705
116,2,0.061916,0.037946,2.6521e-05,0.0021,0.037943,-0.061922000000000005,0.0073918000000000005
117,2,0.060077,0.040667,2.8048000000000003e-05,0.0021,0.04065,-0.060096000000000004,0.0047792
118,2,0.0582,0.043458,1.5042000000000001e-05,0.0021,0.043447,-0.058213,0.0020853
119,1,0.051451,-0.051087,-2.8803000000000002e-05,0.0021,-0.051091000000000004,-0.051511,0.0020923
120,1,0.052114,-0.050394,-0.00011948,0.0021,-0.050391000000000005,-0.052199,0.0067869
121,1,0.054176,-0.048349,-1.4575e-05,0.0021,-0.048361,-0.054230999999999994,0.0037351
122,1,0.056294000000000004,-0.046268000000000004,1.805e-05,0.0021,-0.046297000000000005,-0.056278999999999996,0.006762100000000001
123,1,0.056852,-0.045499,5.415199999999999e-06,0.0021,-0.045534,-0.056840999999999996,0.0020863
124,1,0.05272,-0.044389,-0.00015901,0.0021,-0.04453,-0.052774,0.0021026
125,1,0.052039,-0.045606,7.287e-05,0.0021,-0.045651,-0.052150999999999996,0.0061523
126,1,0.054152,-0.042037,-1.0017e-05,0.0021,-0.042109,-0.05445,0.0058077
127,1,0.051825,-0.045231,0.00077944,0.0021,-0.038978,-0.056701999999999995,0.007461499999999999
128,1,0.05689400000000001,-0.0382,-5.717e-05,0.0021,-0.037978,-0.056978999999999995,0.002251
129,1,0.053363,-0.040527,-0.00012079,0.0021,-0.040417,-0.053573,0.0020821
130,1,0.051522000000000005,-0.038932999999999995,-1.5229000000000001e-05,0.0021,-0.038310000000000004,-0.05196799999999999,0.005317199999999999
131,1,0.053142999999999996,-0.035959,0.00024271,0.0021,-0.035671,-0.053485000000000005,0.0020976
132,1,0.054518,-0.036285000000000005,-0.00038037,0.0021,-0.035434,-0.054901,0.006083
133,1,0.057127,-0.0339,0.00016264,0.0021,-0.033736,-0.057186,0.0024938000000000004
134,1,0.056675,-0.032494999999999996,0.00028585,0.0021,-0.032218000000000004,-0.057010000000000005,0.0077342
135,1,0.057425,-0.029932,0.00014397,0.0021,-0.029941000000000002,-0.057525,0.004243
136,1,0.053814,-0.030381000000000002,0.00013924,0.0021,-0.030306,-0.053951,0.0020851999999999997
137,1,0.052734,-0.032117,0.00019762,0.0021,-0.031588,-0.05324500000000001,0.006005300000000001
138,1,0.054355999999999995,-0.027593,0.00026603,0.0021,-0.027630000000000002,-0.054624,0.0061726
139,1,0.056497000000000006,-0.026434,9.5535e-05,0.0021,-0.026454000000000002,-0.056620000000000004,0.0020957
140,1,0.054987,-0.022248,9.6629e-05,0.0021,-0.022428999999999998,-0.055031,0.0020862
141,1,0.05707,-0.023587999999999998,8.5719e-05,0.0021,-0.023814,-0.057351,0.0052756
142,1,0.052583000000000005,-0.023851,8.6888e-05,0.0021,-0.023911,-0.05285700000000001,0.0054013
143,1,0.052235000000000004,-0.026505,6.829e-05,0.0021,-0.026425999999999998,-0.052359,0.0020913
144,1,0.054927,-0.019939,3.5748000000000004e-05,0.0021,-0.020349000000000003,-0.055029999999999996,0.0057299
145,1,0.057385000000000005,-0.018933000000000002,8.0835e-05,0.0021,-0.019033,-0.057507,0.0020898
146,1,0.05767100000000001,-0.016834000000000002,0.00018959,0.0021,-0.017282,-0.057877,0.005878100000000001
147,1,0.055323000000000004,-0.014648,0.000376,0.0021,-0.014871,-0.055624,0.0020930999999999996
148,1,0.05349400000000001,-0.015849000000000002,0.00015921,0.0021,-0.016364,-0.053730999999999994,0.0058113
149,1,0.051821000000000006,-0.016465,0.00015791,0.0021,-0.016585,-0.05180800000000001,0.0020897
150,1,0.051336,-0.020592,3.7246e-05,0.0021,-0.020732,-0.051204999999999994,0.0020978999999999998
151,1,0.055614,-0.013349000000000001,-5.1314e-05,0.0021,-0.013789,-0.055952999999999996,0.008259
152,1,0.051789,-0.011683,0.00065383,0.0021,-0.012251999999999999,-0.052361000000000005,0.0021814
153,1,0.056027999999999994,-0.010414,0.00017415,0.0021,-0.010844,-0.05639400000000001,0.0051365000000000004
154,1,0.054328999999999995,-0.0084591,0.00012736,0.0021,-0.0086627,-0.054541,0.0020762
155,1,0.050720999999999995,-0.0075232,0.00025118,0.0021,-0.0078505,-0.05135599999999999,0.0062829999999999995
156,1,0.055067,-0.0065362,0.00010246,0.0021,-0.006809,-0.055379,0.0057181
157,1,0.05699,-0.005137399999999999,9.0597e-06,0.0021,-0.0052049,-0.056996000000000005,0.0020904
158,1,0.052940999999999995,-0.0046342,6.3599e-05,0.0021,-0.004731,-0.052933,0.0030174
159,1,0.055622000000000005,-0.0026171999999999996,0.00037799999999999997,0.0021,-0.0025678000000000003,-0.055667999999999995,0.0059328
160,1,0.056547,-0.0010148,3.2853e-05,0.0021,-0.001035,-0.056528999999999996,0.0020846999999999997
161,1,0.052538,-0.00051471,0.00010362,0.0021,-0.00055896,-0.05255599999999999,0.0033173
162,1,0.051431,-0.0011761,0.00025282,0.0021,-0.0013040999999999999,-0.05173,0.007358
163,1,0.054526,0.0020137999999999996,8.2835e-05,0.0021,0.001986,-0.054534000000000006,0.0059886
164,1,0.054813,0.0036405,1.2215e-05,0.0021,0.0036590000000000004,-0.05488,0.0020973000000000003
165,2,0.054301999999999996,0.0060549,-1.8459e-05,0.0021,0.006135,-0.054448,0.0054569
166,2,0.05807999999999999,0.011147,2.5041e-05,0.0021,0.011153,-0.058120000000000005,0.0020875
167,2,0.053276,0.0083412,-1.45e-06,0.0021,0.0083699,-0.053337999999999997,0.0020909
168,2,0.05584,0.0093666,-0.00038695,0.0021,0.0097454,-0.056299,0.006468000000000001
169,2,0.050738,0.010846,9.0238e-05,0.0021,0.010820999999999999,-0.050924000000000004,0.007973899999999999
170,2,0.053014,0.011666,-8.9089e-05,0.0021,0.011765000000000001,-0.05318200000000001,0.0045467
171,2,0.05678099999999999,0.013753,6.134100000000001e-05,0.0021,0.013711000000000001,-0.056834,0.0051496
172,2,0.057837,0.021421,1.4629000000000002e-05,0.0021,0.021401,-0.057883000000000004,0.0020976
173,2,0.051932000000000006,0.014959,2.3674e-05,0.0021,0.014939,-0.051995000000000006,0.0020872
174,2,0.056152999999999995,0.016543000000000002,3.2373e-05,0.0021,0.016521,-0.056185,0.0020964000000000004
175,2,0.053641999999999995,0.01653,8.1769e-05,0.0021,0.016462,-0.0537,0.0056008
176,2,0.05279299999999999,0.019069,9.585e-06,0.0021,0.019043,-0.052841,0.0020971
